feature_type,dataset,difficulty,query type,alpha,diffusion scalar,distance metric,mAP,precision at 1,precision at 5,precision at 10
swin,ox,E,basic,,,euclidean,0.8838282489082855,0.8857142857142857,0.7371428571428572,0.6728571428571429
swin,ox,E,expanded,0.25,,euclidean,0.8838486566371445,0.8857142857142857,0.7371428571428572,0.6714285714285714
swin,ox,E,expanded,0.5,,euclidean,0.8829787732459722,0.8857142857142857,0.7371428571428572,0.6714285714285714
swin,ox,E,expanded,0.75,,euclidean,0.8821077846032263,0.8857142857142857,0.7371428571428572,0.6699999999999999
swin,ox,E,expanded,1.0,,euclidean,0.8814252407577692,0.8857142857142857,0.7371428571428572,0.6699999999999999
swin,ox,E,basic,,,cosine,0.9261358175094431,0.9428571428571428,0.7828571428571429,0.7185714285714286
swin,ox,E,expanded,0.25,,cosine,0.9378786327191502,0.9428571428571428,0.7828571428571429,0.7214285714285714
swin,ox,E,expanded,0.5,,cosine,0.9377060332496571,0.9428571428571428,0.7828571428571429,0.7214285714285714
swin,ox,E,expanded,0.75,,cosine,0.9375826309912244,0.9428571428571428,0.7828571428571429,0.7214285714285714
swin,ox,E,expanded,1.0,,cosine,0.9375127421910524,0.9428571428571428,0.7828571428571429,0.7214285714285714
swin,ox,E,diffusion,,1.0,,0.946203674510284,0.9285714285714286,0.8000000000000002,0.7357142857142857
swin,ox,M,basic,,,euclidean,0.8685873707470616,0.9142857142857143,0.7942857142857143,0.7628571428571428
swin,ox,M,expanded,0.25,,euclidean,0.8702224731621937,0.9142857142857143,0.7942857142857143,0.7642857142857143
swin,ox,M,expanded,0.5,,euclidean,0.870343409297628,0.9142857142857143,0.7942857142857143,0.7628571428571429
swin,ox,M,expanded,0.75,,euclidean,0.8706098700150692,0.9142857142857143,0.7942857142857143,0.7657142857142857
swin,ox,M,expanded,1.0,,euclidean,0.8704536186560329,0.9142857142857143,0.7942857142857143,0.7657142857142857
swin,ox,M,basic,,,cosine,0.9073505021849247,0.9428571428571428,0.8428571428571429,0.8057142857142858
swin,ox,M,expanded,0.25,,cosine,0.9238614493581845,0.9428571428571428,0.8428571428571429,0.8157142857142858
swin,ox,M,expanded,0.5,,cosine,0.9292928311715506,0.9428571428571428,0.8428571428571429,0.8214285714285714
swin,ox,M,expanded,0.75,,cosine,0.9324117379626169,0.9428571428571428,0.8428571428571429,0.8214285714285714
swin,ox,M,expanded,1.0,,cosine,0.9309877073125684,0.9428571428571428,0.8428571428571429,0.8214285714285714
swin,ox,M,diffusion,,1.0,,0.8361419229926658,0.8714285714285714,0.7971428571428572,0.78
swin,ox,H,basic,,,euclidean,0.8598070193990276,0.8857142857142857,0.7685714285714286,0.7285714285714285
swin,ox,H,expanded,0.25,,euclidean,0.8615213028053194,0.8857142857142857,0.7685714285714286,0.7271428571428572
swin,ox,H,expanded,0.5,,euclidean,0.8608407301851014,0.8857142857142857,0.7685714285714286,0.7271428571428572
swin,ox,H,expanded,0.75,,euclidean,0.8610146790546418,0.8857142857142857,0.7685714285714286,0.7271428571428572
swin,ox,H,expanded,1.0,,euclidean,0.8610425112449362,0.8857142857142857,0.7685714285714286,0.7271428571428572
swin,ox,H,basic,,,cosine,0.896813510052975,0.9142857142857143,0.8,0.7471428571428571
swin,ox,H,expanded,0.25,,cosine,0.9023536362329014,0.9142857142857143,0.8,0.7457142857142858
swin,ox,H,expanded,0.5,,cosine,0.9051395295209193,0.9142857142857143,0.8,0.7457142857142858
swin,ox,H,expanded,0.75,,cosine,0.9065301279322149,0.9142857142857143,0.8,0.7471428571428572
swin,ox,H,expanded,1.0,,cosine,0.9063237084664374,0.9142857142857143,0.8,0.7471428571428572
swin,ox,H,diffusion,,1.0,,0.8648287501947262,0.8714285714285714,0.8028571428571429,0.742857142857143
swin,par,E,basic,,,euclidean,0.9939711068515357,1.0,1.0,1.0
swin,par,E,expanded,0.25,,euclidean,0.9991423898558569,1.0,1.0,1.0
swin,par,E,expanded,0.5,,euclidean,0.9996708093878094,1.0,1.0,1.0
swin,par,E,expanded,0.75,,euclidean,0.9996771398966497,1.0,1.0,1.0
swin,par,E,expanded,1.0,,euclidean,0.9996784359812239,1.0,1.0,1.0
swin,par,E,basic,,,cosine,0.9998563818817134,1.0,1.0,1.0
swin,par,E,expanded,0.25,,cosine,0.9999968988218738,1.0,1.0,1.0
swin,par,E,expanded,0.5,,cosine,0.9999964349999815,1.0,1.0,1.0
swin,par,E,expanded,0.75,,cosine,0.9999964349999815,1.0,1.0,1.0
swin,par,E,expanded,1.0,,cosine,0.9999964349999815,1.0,1.0,1.0
swin,par,E,diffusion,,1.0,,0.8921759527480293,0.9428571428571428,0.9542857142857144,0.9428571428571428
swin,par,M,basic,,,euclidean,0.9862004445654335,1.0,1.0,1.0
swin,par,M,expanded,0.25,,euclidean,0.991867367902944,1.0,1.0,1.0
swin,par,M,expanded,0.5,,euclidean,0.9963543737080361,1.0,1.0,1.0
swin,par,M,expanded,0.75,,euclidean,0.9970773899551081,1.0,1.0,1.0
swin,par,M,expanded,1.0,,euclidean,0.9971463113979226,1.0,1.0,1.0
swin,par,M,basic,,,cosine,0.9961624958766858,1.0,1.0,1.0
swin,par,M,expanded,0.25,,cosine,0.9994083907189305,1.0,1.0,1.0
swin,par,M,expanded,0.5,,cosine,0.9996442218685926,1.0,1.0,1.0
swin,par,M,expanded,0.75,,cosine,0.9996645629629362,1.0,1.0,1.0
swin,par,M,expanded,1.0,,cosine,0.9996608956774788,1.0,1.0,1.0
swin,par,M,diffusion,,1.0,,0.8249801833499839,0.9428571428571428,0.9428571428571428,0.9414285714285715
